id,date,rxl,cid,lac,rnc
27608,1259994495266,-93,16537,27,0
27609,1259994495596,-93,16537,27,0
27610,1259994495937,-93,16537,27,0
27611,1259994496267,-93,16537,27,0
27612,1259994496606,-93,16537,27,0
27613,1259994496937,-93,16537,27,0
27614,1259994497277,-93,16537,27,0
27615,1259994497606,-93,16537,27,0
27616,1259994497937,-93,16537,27,0
27617,1259994498277,-93,16537,27,0
27618,1259994498606,-93,16537,27,0
27619,1259994498936,-93,16537,27,0
27620,1259994499276,-93,16537,27,0
27621,1259994499606,-93,16537,27,0
27622,1259994499946,-93,16537,27,0
27623,1259994500287,-93,16537,27,0
27624,1259994500616,-93,16537,27,0
27625,1259994500946,-93,16537,27,0
27626,1259994501286,-93,16537,27,0
27627,1259994501616,-93,16537,27,0
27628,1259994501957,-93,16537,27,0
27629,1259994502286,-93,16537,27,0
27630,1259994502626,-93,16537,27,0
27631,1259994502956,-93,16537,27,0
27632,1259994503286,-93,16537,27,0
27633,1259994503627,-93,16537,27,0
27634,1259994503957,-93,16537,27,0
27635,1259994504296,-93,16537,27,0
27636,1259994504636,-93,16537,27,0
27637,1259994504966,-93,16537,27,0
27638,1259994505296,-93,16537,27,0
27639,1259994505636,-93,16537,27,0
27640,1259994505966,-93,16537,27,0
27641,1259994506297,-93,16537,27,0
27642,1259994506637,-93,16537,27,0
27643,1259994506967,-93,16537,27,0
27644,1259994507306,-93,16537,27,0
27645,1259994507637,-93,16537,27,0
27646,1259994507977,-93,16537,27,0
27647,1259994508307,-93,16537,27,0
27648,1259994508646,-93,16537,27,0
27649,1259994508976,-93,16537,27,0
27650,1259994509463,-93,16537,27,0
27651,1259994509647,-93,16537,27,0
27652,1259994509987,-93,16537,27,0
27653,1259994510317,-93,16537,27,0
27654,1259994510659,-93,16537,27,0
27655,1259994510986,-93,16537,27,0
27656,1259994511326,-93,16537,27,0
27657,1259994511659,-93,16537,27,0
27658,1259994511997,-93,16537,27,0
27659,1259994512326,-93,16537,27,0
27660,1259994512668,-93,16537,27,0
27661,1259994512996,-93,16537,27,0
27662,1259994513337,-93,16537,27,0
27663,1259994513733,-93,16537,27,0
27664,1259994514007,-93,16537,27,0
27665,1259994514337,-93,16537,27,0
27666,1259994514723,-93,16537,27,0
27667,1259994515006,-93,16537,27,0
27668,1259994515346,-93,16537,27,0
27669,1259994515722,-93,16537,27,0
27670,1259994516017,-93,16537,27,0
27671,1259994516346,-93,16537,27,0
27672,1259994516722,-93,16537,27,0
27673,1259994517017,-93,16537,27,0
27674,1259994517356,-93,16537,27,0
27675,1259994517720,-93,16537,27,0
27676,1259994518027,-93,16537,27,0
27677,1259994518357,-93,16537,27,0
27678,1259994518729,-93,16537,27,0
27679,1259994519026,-93,16537,27,0
27680,1259994519357,-93,16537,27,0
27681,1259994519733,-93,16537,27,0
27682,1259994520026,-93,16537,27,0
27683,1259994520367,-93,16537,27,0
27684,1259994520718,-93,16537,27,0
27685,1259994521026,-93,16537,27,0
